ID,Idade,Profissão,Real (y),Baseline Pred,Baseline Conf,Thompson Pred,Thompson Conf,Baseline Acerto,Thompson Acerto
1,37,admin.,1,1,0.113,1,0.117,1,1
2,75,retired,1,1,0.113,1,0.257,1,1
3,42,self-employed,1,1,0.113,0,0.096,1,0
4,66,retired,1,1,0.113,1,0.257,1,1
5,40,technician,1,1,0.113,0,0.088,1,0
6,39,services,1,1,0.113,0,0.074,1,0
7,85,retired,1,1,0.113,1,0.257,1,1
8,50,management,1,1,0.113,1,0.12,1,1
9,60,admin.,1,1,0.113,1,0.137,1,1
10,32,student,1,1,0.113,1,0.132,1,1
11,41,technician,0,1,0.113,0,0.088,0,1
12,28,blue-collar,0,1,0.113,0,0.078,0,1
13,32,blue-collar,0,1,0.113,0,0.074,0,1
14,36,services,0,1,0.113,0,0.08,0,1
15,45,housemaid,0,1,0.113,0,0.068,0,1
16,33,unemployed,0,1,0.113,1,0.161,0,0
17,29,blue-collar,0,1,0.113,0,0.078,0,1
18,29,technician,0,1,0.113,1,0.14,0,0
19,36,services,0,1,0.113,0,0.08,0,1
20,33,admin.,0,1,0.113,1,0.117,0,0
